"","variables","MeanDecreaseGini","newvarnames"
"1","mines_rareelements_npersqkm",0.0487545690591488,"Rare element mines (n/sqkm)"
"2","mines_heavymetal_npersqkm",0.126394485979647,"Heavy metal mines (n/sqkm)"
"3","npdes_stormwatermunicipal_npersqkm",0.668835730063636,"Municipal separate storm sewer systems (n/sqkm)"
"4","lake_glaciatedlatewisc",2.05124617295472,"Glaciated"
"5","npdes_cafo_npersqkm",3.02325599131883,"Concentrated animal feed operations (n/sqkm)"
"6","sems_superfundnpl_npersqkm",3.19038358458318,"Superfund sites (n/sqkm)"
"7","size_category",5.56082901243298,"Lake size (small/large)"
"8","lith_carbonateresid_pct",5.86109680843404,"Carbonate residual rock (%)"
"9","npdes_majordischarge_npersqkm",7.81577812282043,"Facilities with major discharge (n/sqkm)"
"10","lith_silicicresid_pct",8.22158350233207,"Silicic residual rock (%)"
"11","npdes_stormwaterindustrial_npersqkm",11.9921492554266,"Industrial storm water sewers (n/sqkm)"
"12","lake_lakes1ha_upstream_n",12.7729855121949,"Upstream lakes <= 1 ha (no.)"
"13","npdes_potw_npersqkm",15.2987635218311,"Publically owned sewage treatment plants (n/sqkm)"
"14","lake_lakes1ha_upstream_ha",15.7315515384788,"Upstream lakes <= 1 ha (ha)"
"15","lith_noncarbonateresid_pct",18.0048389642795,"Noncarbonate residual rock (%)"
"16","canals_mperha",20.6338367162921,"Canals (m/ha)"
"17","lake_connectivity_class",21.9522142416588,"Connectivity class"
"18","epanutr_zoneid",22.1701005518842,"Ecoregion"
"19","dams_npersqkm",27.129848897793,"Dams (n/sqkm)"
"20","satoverlandflow_pct",33.5518301244938,"Saturated over land flow (%)"
"21","nlcd_summed_dev_diff",36.4891987678415,"Difference in development 2016-2001 (%)"
"22","lm_slope_s_deposition",37.5773714788212,"Slope of sulfur deposition over time"
"23","nlcd_summed_agr_diff",38.3445677799507,"Difference in agriculture 2016-2001 (%)"
"24","mean_totaldepsulfur_kgperha",39.0644412146461,"Mean total sulfur deposition (kg/ha)"
"25","avg_nlcd_shrub52_pct",39.758167692903,"Average shrub (%)"
"26","soil_orgcarbon_gperkg",40.0952646225011,"Soil organic carbon (g/kg)"
"27","tri_m",40.1549750457921,"Mean terrain ruggedness index"
"28","groundwaterrecharge_mmperyr",40.3342234782868,"Groundwater recharge (mm/yr)"
"29","avg_nlcd_icesnow12_pct",40.3975956486669,"Average ice and snow (%)"
"30","avg_nlcd_ag_pct",40.5205061467068,"Average agriculture (%)"
"31","soil_sand_pct",40.8017330152697,"Soil sand (%)"
"32","runoff_inperyr",40.8125294220759,"Runoff (in/yr)"
"33","lm_slope_n_deposition",40.9380428055969,"Slope of nitrogen deposition over time"
"34","topographicwetness",41.5368328153387,"Topographic wetness"
"35","soil_silt_pct",41.5517206103064,"Soil silt (%)"
"36","avg_nlcd_openwater11_pct",41.6281453916416,"Average open water (%)"
"37","avg_nlcd_forest_pct",41.9995987919477,"Average forest (%)"
"38","baseflowindex_pct",42.6376072577239,"Baseflow index (%)"
"39","mean_totaldepnitrogen_kgperha",42.7673656189179,"Mean total nitrogen deposition (kg/ha)"
"40","nlcd_summed_forest_diff",42.8840291597056,"Difference in forest 2016-2001 (%)"
"41","soil_depthtobedrock_cm",43.3436915019631,"Soil depth to bedrock (cm)"
"42","soil_kffact",43.8964634541028,"Average soil erodibility factor"
"43","soil_coarse_pct",44.2699779920627,"Soil coarse (%)"
"44","avg_nlcd_wetland_pct",44.7238318988515,"Average wetland (%)"
"45","reliefratio",44.7373707984233,"Relief ratio"
"46","avg_nlcd_barren31_pct",44.896593488019,"Average barren (%)"
"47","soil_clay_pct",45.1608983389103,"Soil clay (%)"
"48","avg_ppt",46.7178847003762,"Average precipitation (ppt)"
"49","avg_nlcd_dev_pct",47.0104278967114,"Average development (%)"
"50","nlcd_summed_wetland_diff",48.3123712589407,"Difference in wetland 2016-2001 (%)"
"51","roads_mperha",50.3378413032294,"Roads (m/ha)"
"52","avg_temp_degC",51.7415997211663,"Average annual air
temperature (deg C)"
"53","lm_slope_ppt",52.661332747861,"Slope of precipitation over time"
"54","avg_annual_range_temp_degC",52.9323966564924,"Average annual air temperature range (deg C)"
"55","lm_slope_temp",53.3745854792857,"Slope of temperature over time"
"56","lake_lon_decdeg",54.060097836753,"Longitude (DD)"
"57","lake_lat_decdeg",55.2905661265056,"Latitude (DD)"
"58","lake_perimeter_m",61.2287157332712,"Lake perimeter (m)"
"59","ws_area_ha",63.4993808829696,"Watershed area (ha)"
"60","lake_waterarea_ha",63.9723528709511,"Lake area (ha)"
"61","lake_elevation_m",64.6696170999072,"Lake elevation (m)"
