"","distance","type","Hylak_id","geometry"
"4402",120,"dp",1064681,c(-94.4843381315701, 31.7729232372338)
"4403",120,"dp",1065931,c(-94.8038996085653, 30.0808370786848)
"4404",120,"dp",1065555,c(-94.3829292554126, 30.5794047083695)
"4405",120,"dp",1065877,c(-93.7697493513512, 30.1429434381572)
"4419",120,"dp",1066539,c(-94.0423029850409, 29.7265927136959)
"4420",120,"dp",1066523,c(-94.0631938734763, 29.7367148730872)
"4421",120,"dp",1066457,c(-94.1054438559577, 29.7710231965924)
"4422",120,"dp",1066211,c(-94.0946885042168, 29.8942861270128)
"4423",120,"dp",1066799,c(-94.3499854168297, 29.587103114542)
"4424",120,"dp",1066583,c(-94.259898198247, 29.6900503805629)
"4425",120,"dp",1066848,c(-94.4689141010262, 29.5652668966833)
"4426",120,"dp",1066378,c(-94.7098839219544, 29.8070839468116)
"4427",120,"dp",1067138,c(-95.0103782828451, 29.3884590808131)
"4428",120,"dp",1067794,c(-95.4566674117792, 28.871091881087)
"4429",120,"dp",1066114,c(-95.7813256412785, 29.9593399522816)
"4430",120,"dp",1066890,c(-96.3389050143045, 29.5537624159654)
"4431",120,"dp",1067720,c(-96.2960931850904, 28.9713547682738)
"4432",120,"dp",1067976,c(-96.4102283356544, 28.6252928537179)
"4433",120,"dp",1067548,c(-96.4281271672829, 29.181793124289)
"4434",120,"dp",1066963,c(-97.6398522057484, 29.497662465612)
"4435",120,"dp",1065637,c(-96.768369954964, 30.5045631562885)
"4436",120,"dp",1065480,c(-96.8020450861196, 30.6604711655212)
"4437",120,"dp",1065546,c(-97.0093799078017, 30.5942579739786)
"4438",120,"dp",1065654,c(-96.9612394528287, 30.4879663821676)
"4439",120,"dp",1064989,c(-97.0883372101551, 31.3445373990293)
"4440",120,"dp",1065172,c(-97.0083766100647, 31.068108806524)
"4441",120,"dp",1065027,c(-96.2188749321479, 31.2791268456763)
"4442",120,"dp",1065173,c(-96.2084005037733, 31.0673373820418)
"4443",120,"dp",1065569,c(-96.11818397126, 30.5643106513036)
"4444",120,"dp",1065680,c(-96.2233028194939, 30.4410566390853)
"4445",120,"dp",1065840,c(-95.5385097525141, 30.1983165550389)
"4446",120,"dp",1065284,c(-95.3474506496772, 30.8829936853913)
"4447",120,"dp",1065241,c(-95.3344880429148, 30.9435705732023)
"4448",120,"dp",1064971,c(-95.5067431166094, 31.3700033251455)
"4449",120,"dp",1064423,c(-95.7134046140324, 32.1121850226831)
"4450",120,"dp",1064654,c(-95.5728314533225, 31.8134743022138)
"4451",120,"dp",1064833,c(-95.7856108373908, 31.5660655393644)
"4452",120,"dp",1063694,c(-95.9736065378041, 32.721142158047)
"4453",120,"dp",1063762,c(-95.699857865032, 32.6624202562741)
"4454",120,"dp",1064169,c(-95.3500993557029, 32.372146154998)
"4455",120,"dp",1062880,c(-95.6506873577157, 33.3513335326273)
"4458",120,"dp",1062383,c(-96.0077231199641, 33.7192093695366)
"4459",120,"dp",1063005,c(-96.4290947922115, 33.2613132005603)
"4460",120,"dp",1064634,c(-96.6090685698297, 31.8408353462778)
"4461",120,"dp",1064617,c(-96.7061833316727, 31.8740110581154)
"4462",120,"dp",1064698,c(-96.9999935000842, 31.7471942241554)
"4463",120,"dp",1064770,c(-97.0193995078688, 31.6536021521446)
"4464",120,"dp",1064903,c(-97.0771760802183, 31.4899576025842)
"4465",120,"dp",1064725,c(-98.0838538158421, 31.7024961951957)
"4466",120,"dp",1064056,c(-97.9619553703441, 32.4633882807536)
"4467",120,"dp",1063010,c(-98.1839427980878, 33.2535677420305)
"4468",120,"dp",1062978,c(-98.2771201737006, 33.2798496836395)
"4469",120,"dp",1063099,c(-98.4030228919446, 33.1939272654407)
"4470",120,"dp",1062186,c(-98.1378847433067, 33.9042576041535)
"4471",120,"dp",1063034,c(-98.8258482311355, 33.2374525508234)
"4472",120,"dp",1064185,c(-99.8444094710668, 32.3625412513288)
"4473",120,"dp",1065404,c(-98.7051046928103, 30.7529038712581)
"4474",120,"dp",1065544,c(-97.883020363496, 30.5860175552318)
"4475",120,"dp",1066052,c(-99.1120333367457, 30.0032888522643)
"4476",120,"dp",1067317,c(-98.6342718725763, 29.3107904586642)
"4477",120,"dp",1067902,c(-98.7091357201626, 28.7252881948415)
"4480",120,"dp",1069209,c(-98.2157674023062, 26.3747577974375)
"4481",120,"dp",1069195,c(-98.2552482830334, 26.4077462270309)
"4482",120,"dp",1069054,c(-97.8960632340773, 26.7889369396858)
"4483",120,"dp",1068962,c(-97.9321418207007, 27.0603178297985)
"4484",120,"dp",1068527,c(-97.276386419781, 27.8972554247218)
"4485",120,"dp",1068542,c(-97.5788784579436, 27.8847298098627)
"4486",120,"dp",1068809,c(-97.4736570503854, 27.4530709914849)
"4487",120,"dp",1068540,c(-97.0553264850564, 27.8870039514)
"4506",120,"dp",1064535,c(-106.429569774886, 31.9805746550907)
"4509",120,"dp",1066568,c(-101.356160664812, 29.7064777088438)
"4510",120,"dp",1064579,c(-101.645614291495, 31.9323717727029)
"4511",120,"dp",1064975,c(-102.676054576632, 31.3656021924057)
"4512",120,"dp",1063025,c(-101.628277306599, 33.249023918057)
"5082",120,"dp",1061716,c(-83.0535975678005, 34.3205191465938)
"5083",120,"dp",1061614,c(-82.9424277194371, 34.4475723129096)
"5084",120,"dp",1061597,c(-83.1385345246666, 34.4683695602229)
"5085",120,"dp",1061407,c(-83.3598397099491, 34.6149446709507)
"5086",120,"dp",1061532,c(-83.3088989395145, 34.5236891678919)
"5093",120,"dp",1061245,c(-83.7247056536473, 34.7287587662388)
"5095",120,"dp",1061200,c(-85.031726140726, 34.7592946902528)
"5096",120,"dp",1061622,c(-85.3441887288441, 34.4401568278577)
"5217",120,"dp",1061817,c(-85.2834959044056, 34.2142587684901)
"5219",120,"dp",1062488,c(-85.0319134229702, 33.6307764774446)
"5332",120,"dp",1065309,c(-81.9805817858046, 30.8556415595295)
"5356",120,"dp",1065159,c(-84.1558516754039, 31.0905380848229)
"5357",120,"dp",1065270,c(-84.0870967962608, 30.9017932554326)
"5358",120,"dp",1065334,c(-84.0491141734876, 30.8308623349755)
"5359",120,"dp",1065231,c(-83.9721679257093, 30.9583391158913)
"5360",120,"dp",1064996,c(-83.6114221913845, 31.3354497510823)
"5361",120,"dp",1065265,c(-83.2971224536324, 30.9039202466351)
"5362",120,"dp",1065451,c(-83.2294466769442, 30.69132368571)
"5363",120,"dp",1065087,c(-82.2331140557644, 31.1947918674524)
"5364",120,"dp",1063529,c(-82.720988761123, 32.8688008303308)
"5365",120,"dp",1063993,c(-83.4302801292904, 32.5207679931093)
"5366",120,"dp",1064159,c(-83.3699128192288, 32.3861120594973)
"5367",120,"dp",1064461,c(-83.1140139279737, 32.0759994176344)
"5368",120,"dp",1064509,c(-83.7791780321162, 32.0066113461417)
"5369",120,"dp",1064799,c(-84.0984764221492, 31.6189371005552)
"5370",120,"dp",1064803,c(-84.0624914766479, 31.6173050695696)
"5371",120,"dp",1064881,c(-84.4752793793675, 31.5152139509509)
"5372",120,"dp",1064490,c(-84.6466114191441, 32.034168590652)
"5374",120,"dp",1063502,c(-84.8309016065819, 32.896188629001)
"5375",120,"dp",1063460,c(-84.2456579706203, 32.9292929952218)
"5376",120,"dp",1063986,c(-84.0632629011302, 32.5264578060535)
"5377",120,"dp",1064133,c(-83.828553658081, 32.4023476464329)
"5378",120,"dp",1063996,c(-83.6428053445987, 32.5164783378959)
"5379",120,"dp",1063226,c(-83.7950345954622, 33.1077150056733)
"5380",120,"dp",1063002,c(-83.6828748266649, 33.2659818793633)
"5381",120,"dp",1062906,c(-83.7040020474561, 33.335035518277)
"5382",120,"dp",1062843,c(-83.6428142628008, 33.3788194315207)
"5383",120,"dp",1062631,c(-83.7245718806157, 33.5293230102766)
"5384",120,"dp",1062710,c(-84.0687788091333, 33.455096814141)
"5385",120,"dp",1062481,c(-84.1467417319517, 33.6354184016413)
"5386",120,"dp",1062818,c(-84.1167498182663, 33.399696942653)
"5387",120,"dp",1063069,c(-84.1636506431464, 33.2063146481671)
"5388",120,"dp",1062462,c(-84.7036076488092, 33.6459418801274)
"5389",120,"dp",1062733,c(-84.49476119187, 33.4530813004648)
"5390",120,"dp",1062722,c(-84.4686932871116, 33.4617497929127)
"5391",120,"dp",1061888,c(-84.5402217271099, 34.1448038104817)
"5392",120,"dp",1061680,c(-84.2544914498072, 34.3591527981208)
"5393",120,"dp",1062360,c(-83.9583134987363, 33.7354449564722)
"5394",120,"dp",1062235,c(-83.9701836257405, 33.854150685616)
"5395",120,"dp",1061903,c(-83.5812875864653, 34.1363538139854)
"5396",120,"dp",1061914,c(-83.5710093585371, 34.1298078536389)
"5397",120,"dp",1063294,c(-82.7750375249918, 33.0547319669563)
"5409",120,"dp",1063407,c(-81.5451416497335, 32.9655053548768)
"5410",120,"dp",1062849,c(-82.1401596352042, 33.3781906982722)
"5411",120,"dp",1063042,c(-82.1160180621009, 33.2301351659946)
"5412",120,"dp",1063770,c(-81.7461177933133, 32.661657749994)
"5413",120,"dp",1064129,c(-82.0955820019729, 32.4082381189245)
"5414",120,"dp",1064583,c(-81.6468359083584, 31.9285191093927)
"5415",120,"dp",1064584,c(-81.3409059032836, 31.9294376842097)
"5417",120,"dp",1064375,c(-81.3958509464641, 32.1604102005761)
"5418",120,"dp",1063845,c(-81.5001448610032, 32.6125407518903)
"6481",240,"dp",114127,c(-94.5664926093787, 29.5073030420895)
"6482",240,"dp",1066005,c(-95.048414414831, 30.0307034055409)
"6483",240,"dp",1066585,c(-95.0238135543191, 29.6908663960557)
"6484",240,"dp",1067253,c(-94.9612568256403, 29.3412817916676)
"6485",240,"dp",1067758,c(-95.3754939362023, 28.9250559220358)
"6486",240,"dp",1066507,c(-95.0724132967006, 29.7480365306619)
"6487",240,"dp",1068030,c(-97.1877617863437, 28.581076407672)
"6488",240,"dp",1065797,c(-97.6516242325295, 30.258732915212)
"6489",240,"dp",1062946,c(-95.7518019332036, 33.3077502789309)
"6490",240,"dp",1062703,c(-96.9427832335685, 33.4756666473005)
"6491",240,"dp",1067696,c(-100.502153631056, 29.0239989153107)
"6492",240,"dp",1069284,c(-98.2446400816273, 26.1885546556477)
"6493",240,"dp",1068238,c(-97.0803465010673, 28.3308093610473)
"6494",240,"dp",1069059,c(-97.7290297677163, 26.7756220639402)
"6508",240,"dp",1063571,c(-102.276434399324, 32.8355671501794)
"6509",240,"dp",1062121,c(-101.598129324377, 33.9528974784445)
"6510",240,"dp",1062133,c(-101.538439797675, 33.9430562424196)
"6511",240,"dp",1062405,c(-101.331689118231, 33.7034375291105)
"6512",240,"dp",1062227,c(-101.149508085591, 33.8601169628255)
"6513",240,"dp",1060717,c(-101.93266892181, 35.133587173578)
"6514",240,"dp",1061416,c(-102.761250161359, 34.6050543848141)
"6515",240,"dp",1061390,c(-102.221850543328, 34.6258694685316)
"6516",240,"dp",1059762,c(-101.316389942517, 36.3448975156455)
"6681",240,"dp",1060974,c(-84.1351257737075, 34.9299712421745)
"6704",240,"dp",1062467,c(-85.0557473181009, 33.6495492928797)
"6706",240,"dp",1065110,c(-85.0741009780369, 31.1608491902336)
"6755",240,"dp",1065365,c(-84.8302594960302, 30.7984179157106)
"6756",240,"dp",1062867,c(-84.7217294354904, 33.3622449529051)
"6757",240,"dp",1062035,c(-83.3805879071508, 34.0314133297936)
"6758",240,"dp",1063392,c(-82.8626410242878, 32.9733712091351)
"6759",240,"dp",1064655,c(-81.402602025459, 31.8126047775084)
"6880",480,"dp",113857,c(-97.0535250082308, 30.5770681394175)
"6881",480,"dp",113430,c(-101.73740488668, 33.2593824098042)
"6999",450,"dp",113842,c(-96.4572361789598, 30.7150594806174)
"7000",450,"dp",113541,c(-95.3505006747977, 32.9007547484797)
"7001",450,"dp",113475,c(-96.1173099874535, 33.1673822368695)
"7056",2970,"dp",832,c(-95.9295149465877, 32.8401065150518)
"8242",210,"dp",1064703,c(-94.160116893974, 31.7365057589303)
"8243",210,"dp",1065887,c(-94.0377769974717, 30.1281035498513)
"8251",210,"dp",1066108,c(-93.9493441053797, 29.9666127460997)
"8252",210,"dp",1066101,c(-94.6790759927761, 29.9690786289823)
"8253",210,"dp",1067783,c(-95.3742766016147, 28.8852896588412)
"8254",210,"dp",1067894,c(-95.8428433994118, 28.7360390874813)
"8255",210,"dp",1067984,c(-95.9570454364916, 28.6156076862299)
"8256",210,"dp",1067889,c(-96.6104285956509, 28.7515835137536)
"8257",210,"dp",1064981,c(-96.8695380396646, 31.357870111179)
"8258",210,"dp",1065463,c(-96.1439219025405, 30.6779686780549)
"8259",210,"dp",1065332,c(-95.1443430557937, 30.8356424913047)
"8260",210,"dp",1064251,c(-95.8992510277379, 32.3098525132813)
"8261",210,"dp",1064228,c(-95.3655902727626, 32.3304624783503)
"8262",210,"dp",1062968,c(-95.141774613587, 33.2864937442091)
"8264",210,"dp",1062953,c(-95.7748376492457, 33.3029076951869)
"8265",210,"dp",1063496,c(-96.9254284122685, 32.8994170181637)
"8266",210,"dp",1064010,c(-98.4012526288264, 32.5022359691312)
"8267",210,"dp",1064243,c(-99.2116719497849, 32.3151187116254)
"8271",210,"dp",1069303,c(-98.1152681827636, 26.1450204520629)
"8272",210,"dp",1069202,c(-98.1679078706996, 26.3812591667734)
"8273",210,"dp",1068592,c(-98.8291078340056, 27.8551169197668)
"8274",210,"dp",1068262,c(-98.8339236631433, 28.2903251825831)
"8275",210,"dp",1068870,c(-97.4823478383386, 27.3058582293065)
"8276",210,"dp",1068373,c(-96.9028698200391, 28.0975493258405)
"8277",210,"dp",1068218,c(-97.0592817076908, 28.3619115908951)
"8278",210,"dp",1069013,c(-97.487725514209, 26.8837418871831)
"8279",210,"dp",1069267,c(-97.6179178876665, 26.2540499319207)
"8280",210,"dp",1069319,c(-97.3153322083818, 26.0961799182245)
"8295",210,"dp",1062406,c(-101.637039440169, 33.6986439954781)
"8296",210,"dp",1062262,c(-101.121487094572, 33.8284127543355)
"8297",210,"dp",1062122,c(-101.222606129161, 33.9532229928214)
"8298",210,"dp",1061129,c(-101.923634783076, 34.7968804530323)
"8299",210,"dp",1060278,c(-100.648006367414, 35.567100977994)
"8555",210,"dp",1061010,c(-83.9995646425817, 34.8929161124204)
"8556",210,"dp",1061603,c(-84.2885812773608, 34.4648424112896)
"8557",210,"dp",1061139,c(-84.8664228055737, 34.7897771050542)
"8677",210,"dp",1065331,c(-84.8397395448699, 30.837002517126)
"8678",210,"dp",1065195,c(-83.1217950593119, 31.0219258969135)
"8680",210,"dp",1065104,c(-82.4008208463845, 31.1660083701524)
"8681",210,"dp",1063534,c(-83.7694304372134, 32.8645825207342)
"8682",210,"dp",113377,c(-83.8886088310688, 33.3538663020257)
"8683",210,"dp",1062727,c(-84.2591690468123, 33.4543164714566)
"8684",210,"dp",1062687,c(-84.3351209150556, 33.4819406024827)
"8685",210,"dp",1061804,c(-84.7764916555278, 34.2280195543411)
"8865",420,"dp",114522,c(-99.4433311677135, 27.5360191892811)
"8866",420,"dp",114599,c(-97.7861999023225, 26.101727039935)
"8867",420,"dp",114578,c(-97.9700530978571, 26.4127493384128)
"8868",420,"dp",114466,c(-97.0668398839764, 27.8906827097691)
"8869",420,"dp",112800,c(-101.346693993276, 36.3410626887396)
"8921",1110,"dp",9487,c(-96.7577394580526, 31.9444648547599)
"9187",390,"dp",114226,c(-95.1944009242197, 29.2935337375873)
"9188",390,"dp",114348,c(-96.9703672326851, 28.6107517251826)
"9189",390,"dp",1068035,c(-97.2841541738161, 28.5755604996689)
"9190",390,"dp",113577,c(-95.5497734417751, 32.692612829507)
"9191",390,"dp",113373,c(-95.4478294734913, 33.369834342898)
"9193",390,"dp",114569,c(-97.4169149894803, 26.5013962673553)
"9199",390,"dp",113413,c(-102.18401507089, 33.2735846466594)
"9200",390,"dp",1062115,c(-102.743226474901, 33.960446736528)
"9201",390,"dp",112819,c(-100.852407100602, 36.1737037080017)
"9288",390,"dp",9439,c(-83.339978873857, 33.1701156658153)
"9289",390,"dp",1063454,c(-82.2469461872322, 32.9263767431329)
"9290",390,"dp",113238,c(-82.579911721994, 33.8849675329963)
"9339",1560,"dp",9484,c(-95.4825524933945, 32.1791518023038)
"11304",90,"dp",1064023,c(-94.8838334540493, 32.4868520704968)
"11307",90,"dp",1065434,c(-94.4484914182014, 30.7175431999042)
"11308",90,"dp",1066595,c(-94.1874110515221, 29.6955930431723)
"11309",90,"dp",1067106,c(-94.8913470393244, 29.4031964097947)
"11310",90,"dp",1065242,c(-95.4531224264417, 30.9421837927747)
"11311",90,"dp",1064492,c(-95.3133429857193, 32.0289559015206)
"11312",90,"dp",1064459,c(-95.7332431546192, 32.0738858037351)
"11313",90,"dp",1064777,c(-96.0017479245524, 31.6483537902047)
"11314",90,"dp",1064416,c(-95.7403286661931, 32.1302711365559)
"11315",90,"dp",1064414,c(-95.8763089528179, 32.1277963354712)
"11317",90,"dp",1062751,c(-97.3310995897068, 33.4439000113958)
"11318",90,"dp",1063713,c(-97.2184136469851, 32.7137311320961)
"11319",90,"dp",1064279,c(-96.7861171771567, 32.2680127680968)
"11320",90,"dp",1064360,c(-97.9573179052485, 32.172159931852)
"11321",90,"dp",1063363,c(-98.4753004609199, 33.0007723851085)
"11322",90,"dp",1062624,c(-98.04921997796, 33.529684197462)
"11323",90,"dp",1067327,c(-98.4551364059563, 29.3023270848647)
"11324",90,"dp",1069015,c(-98.0081561163588, 26.878060992441)
"11325",90,"dp",1069092,c(-97.9879385521825, 26.7056632275127)
"11326",90,"dp",1068926,c(-97.8743920029575, 27.1782164616516)
"11327",90,"dp",1068528,c(-97.6125402117961, 27.8975318889871)
"11328",90,"dp",1068824,c(-97.3182573786728, 27.4125600584144)
"11329",90,"dp",1069260,c(-97.6537333873278, 26.2738884725075)
"11330",90,"dp",1069328,c(-97.6020479470173, 26.0737863127341)
"11529",90,"dp",1065168,c(-81.6268100855273, 31.0716805464678)
"11532",90,"dp",1065319,c(-84.9330774481206, 30.8571977857971)
"11533",90,"dp",1064384,c(-84.1444675904145, 32.1480138996476)
"11534",90,"dp",1064392,c(-84.1619071346345, 32.139207175067)
"11535",90,"dp",1064801,c(-84.6170609564629, 31.6156061520682)
"11536",90,"dp",1064758,c(-84.6105506689248, 31.6723036219628)
"11537",90,"dp",1064491,c(-84.8039017497033, 32.0313103068768)
"11538",90,"dp",1062729,c(-84.7742041366874, 33.4535495060754)
"11539",90,"dp",1062064,c(-84.3159467805258, 34.005416770652)
"11540",90,"dp",1061729,c(-84.131081369052, 34.306018149968)
"11541",90,"dp",1062816,c(-83.5541762520604, 33.4015028785796)
"13327",180,"dp",1063011,c(-94.343332438058, 33.2522389299166)
"13329",180,"dp",1062620,c(-94.5499805581778, 33.5377016611561)
"13330",180,"dp",1065902,c(-94.9647304653609, 30.1088446924015)
"13331",180,"dp",1065775,c(-94.7958732266691, 30.2904415828031)
"13341",180,"dp",1066259,c(-94.0241856574608, 29.866430122732)
"13342",180,"dp",1066348,c(-94.0041598346297, 29.8205593501952)
"13343",180,"dp",1066153,c(-94.1010382641169, 29.9351136562582)
"13344",180,"dp",1066496,c(-94.3887706777926, 29.7499405668117)
"13345",180,"dp",1066569,c(-94.2771415420206, 29.7053138834689)
"13346",180,"dp",1067016,c(-94.6830401336127, 29.4625648812203)
"13347",180,"dp",1066282,c(-94.7212680069439, 29.8553893885236)
"13348",180,"dp",1066164,c(-94.7601023180183, 29.9271497017767)
"13349",180,"dp",1066319,c(-95.0236753221865, 29.8383779180047)
"13350",180,"dp",1067815,c(-95.5570863675028, 28.8535230229365)
"13351",180,"dp",1067764,c(-95.4384831976833, 28.9087712849887)
"13352",180,"dp",1065989,c(-95.2079120004117, 30.0419225037914)
"13353",180,"dp",1066145,c(-95.8000627839051, 29.9405448413413)
"13354",180,"dp",1066156,c(-95.9733211553367, 29.9372896975723)
"13355",180,"dp",1067896,c(-95.8959557520594, 28.7359944964708)
"13356",180,"dp",1067919,c(-96.046767008788, 28.6911894490858)
"13357",180,"dp",1067929,c(-96.3085875862421, 28.6777095866012)
"13358",180,"dp",1067827,c(-97.0152926757986, 28.830955512505)
"13359",180,"dp",1065217,c(-97.3586702115202, 30.9734465502604)
"13360",180,"dp",1065315,c(-96.1934491379411, 30.8589635898143)
"13361",180,"dp",1064494,c(-95.691260718201, 32.0290673790469)
"13362",180,"dp",1064665,c(-95.5287487803081, 31.7886594048514)
"13363",180,"dp",1064567,c(-96.4035798159837, 31.9466408960739)
"13364",180,"dp",1063629,c(-95.3953369358901, 32.7792531629755)
"13366",180,"dp",1063707,c(-97.7433434820978, 32.7125137975085)
"13367",180,"dp",1063614,c(-97.1739653276844, 32.7902002560617)
"13368",180,"dp",1064832,c(-96.9300881728693, 31.5726293361151)
"13369",180,"dp",1064740,c(-96.9933538986156, 31.6881022169951)
"13370",180,"dp",1064864,c(-98.8271948796537, 31.5313558967644)
"13371",180,"dp",1063004,c(-97.8166332670123, 33.2663073937402)
"13372",180,"dp",1062445,c(-97.9187689766414, 33.6538879982047)
"13373",180,"dp",1062591,c(-98.5343344997665, 33.5578924707261)
"13374",180,"dp",1062579,c(-99.7996980648039, 33.5659277708244)
"13375",180,"dp",1063970,c(-99.6173386681222, 32.5430099891639)
"13376",180,"dp",1064843,c(-99.6509156990546, 31.5598629297991)
"13377",180,"dp",1066341,c(-97.9267106356176, 29.8205593501952)
"13378",180,"dp",1068208,c(-99.7034216139589, 28.3863697601733)
"13382",180,"dp",1069140,c(-97.9690052091096, 26.5305587882449)
"13383",180,"dp",1069285,c(-98.2932888741204, 26.1869047882579)
"13384",180,"dp",1069063,c(-98.0577591564774, 26.7597699596952)
"13385",180,"dp",1068937,c(-97.4783301882894, 27.1555240963906)
"13386",180,"dp",1069256,c(-97.3782635015491, 26.2734782352106)
"13387",180,"dp",114585,c(-97.3886755025089, 26.3245081876662)
"13388",180,"dp",1069055,c(-97.7560519201002, 26.7880495785761)
"13389",180,"dp",1069288,c(-97.625716855409, 26.1782853459216)
"13390",180,"dp",1069379,c(-97.3379532280259, 25.9596779167764)
"13411",180,"dp",1064577,c(-102.351900225552, 31.934213381438)
"13412",180,"dp",1062251,c(-101.712326902355, 33.8390031193374)
"13413",180,"dp",1060542,c(-101.347353940232, 35.269665560426)
"13414",180,"dp",1061814,c(-101.943513455572, 34.2179821178698)
"13499",180,"dp",1060180,c(-100.036672531188, 35.7018460936271)
"13829",180,"dp",1062583,c(-85.0605363926323, 33.5657583249844)
"13900",180,"dp",1065122,c(-81.5174461730905, 31.1433561368009)
"13919",180,"dp",1065221,c(-83.6557367376536, 30.9701022244703)
