"","variables","MeanDecreaseGini","newvarnames"
"1","mines_rareelements_npersqkm",0.993617078681249,"Rare element mines (n/sqkm)"
"2","mines_heavymetal_npersqkm",1.20893510518135,"Heavy metal mines (n/sqkm)"
"3","npdes_stormwatermunicipal_npersqkm",6.20282491383905,"Municipal separate storm sewer systems (n/sqkm)"
"4","npdes_cafo_npersqkm",13.8592600446742,"Concentrated animal feed operations (n/sqkm)"
"5","sems_superfundnpl_npersqkm",21.0511083904172,"Superfund sites (n/sqkm)"
"6","lith_carbonateresid_pct",27.1225898699321,"Carbonate residual rock (%)"
"7","lith_silicicresid_pct",34.2838433265031,"Silicic residual rock (%)"
"8","npdes_majordischarge_npersqkm",35.8337343133518,"Facilities with major discharge (n/sqkm)"
"9","npdes_stormwaterindustrial_npersqkm",49.22500610521,"Industrial storm water sewers (n/sqkm)"
"10","lake_lakes1ha_upstream_n",53.6297660539713,"Upstream lakes <= 1 ha (no.)"
"11","lith_noncarbonateresid_pct",57.5595339856985,"Noncarbonate residual rock (%)"
"12","npdes_potw_npersqkm",60.1906474770888,"Publically owned sewage treatment plants (n/sqkm)"
"13","lake_lakes1ha_upstream_ha",68.6903185957736,"Upstream lakes <= 1 ha (ha)"
"14","dams_npersqkm",84.0346275943123,"Dams (n/sqkm)"
"15","canals_mperha",99.6085463629962,"Canals (m/ha)"
"16","nlcd_summed_dev_diff",114.772853059198,"Difference in development 2016-2001 (%)"
"17","lake_connectivity_class",131.440170205989,"Connectivity class"
"18","nlcd_summed_wetland_diff",137.481958796935,"Difference in wetland 2016-2001 (%)"
"19","satoverlandflow_pct",143.383145139149,"Saturated over land flow (%)"
"20","reliefratio",150.337354143089,"Relief ratio"
"21","avg_nlcd_dev_pct",152.215146380176,"Average development (%)"
"22","roads_mperha",157.269026106437,"Roads (m/ha)"
"23","avg_nlcd_wetland_pct",163.20549134595,"Average wetland (%)"
"24","nlcd_summed_forest_diff",172.612610385319,"Difference in forest 2016-2001 (%)"
"25","avg_nlcd_icesnow12_pct",174.963764243316,"Average ice and snow (%)"
"26","avg_nlcd_openwater11_pct",176.746922737924,"Average open water (%)"
"27","avg_nlcd_barren31_pct",179.285988348055,"Average barren (%)"
"28","lm_slope_n_deposition",182.881292520372,"Slope of nitrogen deposition over time"
"29","mean_totaldepnitrogen_kgperha",183.619586995043,"Mean total nitrogen deposition (kg/ha)"
"30","lake_glaciatedlatewisc",190.848702577073,"Glaciated"
"31","soil_silt_pct",192.151585468126,"Soil silt (%)"
"32","soil_depthtobedrock_cm",196.228558251271,"Soil depth to bedrock (cm)"
"33","avg_nlcd_ag_pct",198.635980815073,"Average agriculture (%)"
"34","nlcd_summed_agr_diff",198.824118079067,"Difference in agriculture 2016-2001 (%)"
"35","lm_slope_s_deposition",218.570378285758,"Slope of sulfur deposition over time"
"36","topographicwetness",218.830725719144,"Topographic wetness"
"37","mean_totaldepsulfur_kgperha",232.509023409143,"Mean total sulfur deposition (kg/ha)"
"38","tri_m",234.728728868344,"Mean terrain ruggedness index"
"39","avg_nlcd_shrub52_pct",265.698736103949,"Average shrub (%)"
"40","lm_slope_ppt",285.903889960894,"Slope of precipitation over time"
"41","lm_slope_temp",302.450443760438,"Slope of temperature over time"
"42","runoff_inperyr",302.932707049513,"Runoff (in/yr)"
"43","avg_annual_range_temp_degC",329.338670182357,"Average annual air temperature range (deg C)"
"44","lake_perimeter_m",375.096916277927,"Lake perimeter (m)"
"45","avg_ppt",376.072207160381,"Average precipitation (ppt)"
"46","lake_elevation_m",399.042718786289,"Lake elevation (m)"
"47","lake_waterarea_ha",408.689300470082,"Lake area (ha)"
"48","avg_nlcd_forest_pct",412.022660460164,"Average forest (%)"
"49","ws_area_ha",422.907117741929,"Watershed area (ha)"
"50","soil_kffact",443.028811874645,"Average soil erodibility factor"
"51","lake_lon_decdeg",468.561747278521,"Longitude (DD)"
"52","soil_coarse_pct",481.637235576321,"Soil coarse (%)"
"53","lake_lat_decdeg",487.398467028532,"Latitude (DD)"
"54","avg_temp_degC",517.786755220924,"Average annual air
temperature (deg C)"
"55","soil_sand_pct",575.108892090457,"Soil sand (%)"
"56","groundwaterrecharge_mmperyr",588.721864782589,"Groundwater recharge (mm/yr)"
"57","baseflowindex_pct",590.643686622487,"Baseflow index (%)"
"58","soil_clay_pct",803.273167661469,"Soil clay (%)"
"59","epanutr_zoneid",946.13132124301,"Ecoregion"
"60","soil_orgcarbon_gperkg",1059.87649735037,"Soil organic carbon (g/kg)"
