column_name,column_description,               ,,        ,,    ,,      ,,    ,,    ,, ,,               
date,Landsat flyover date (yyyy-mm-dd),              ,,               ,,,,,,,,,,,,
lagoslakeid,LAGOS-US lake identifier,,,,,,,,,,,,,,,
nhdplusv2_comid,NHDPlusV2 identifier,,,,,,,,,,,,,,,
lake_namegnis,Lake name,,,,,,,,,,,,,,,
lake_lat_decdeg,Lake latitude (decimal degrees),,,,,,,,,,,,,,,
lake_lon_decdeg,Lake longitude (decimal degrees),,,,,,,,,,,,,,,
lake_centroidstate,U.S. state of the geographic center of the lake,,,,,,,,,,,,,,,
dWL,dominant wavelength (nm),,,,,,,,,,,,,,,
month,month of Landsat flyover,,,,,,,,,,,,,,,
year,year of Landsat flyover,,,,,,,,,,,,,,,
doy,Julian day of Landsat flyover,,,,,,,,,,,,,,,
