,variable,color_category,mean_value,sd_value
1,Average annual temperature range (deg C),Blue,11.6,1.35
2,Average annual temperature range (deg C),Green,12.1,1.62
3,Average forest (%),Blue,36.2,21.59
4,Average forest (%),Green,17.7,19.09
5,Average open water (%),Blue,3.9,7.9
6,Average open water (%),Green,13.4,22.92
7,Average temperature (deg C),Blue,8.1,5.27
8,Average temperature (deg C),Green,11.3,5.35
9,Lake area (ha),Blue,139.8,1754.28
10,Lake area (ha),Green,75.4,2013.67
11,Lake elevation (m),Blue,570.7,750.58
12,Lake elevation (m),Green,433.5,532.59
13,Lake perimeter (m),Blue,5973.4,38661.84
14,Lake perimeter (m),Green,3609.5,17407.34
15,Latitude (DD),Blue,42.6,5.08
16,Latitude (DD),Green,40.0,5.58
17,Longitude (DD),Blue,-90.2,14.62
18,Longitude (DD),Green,-93.9,10.26
19,Watershed area (ha),Blue,4659.1,78109.32
20,Watershed area (ha),Green,7173.8,85978.08
