"","variables","MeanDecreaseGini","newvarnames"
"1","lake_lakes1ha_upstream_n",129.021064934991,"Upstream lakes <= 1 ha (no.)"
"2","lake_lakes1ha_upstream_ha",151.697443879464,"Upstream lakes <= 1 ha (ha)"
"3","lake_connectivity_class",197.082659654717,"Connectivity class"
"4","nlcd_summed_dev_diff",203.047560032842,"Difference in development 2016-2001 (%)"
"5","nlcd_summed_wetland_diff",265.645615413071,"Difference in wetland 2016-2001 (%)"
"6","lake_glaciatedlatewisc",293.167576720784,"Glaciated"
"7","avg_nlcd_barren31_pct",297.443947251804,"Average barren (%)"
"8","avg_nlcd_wetland_pct",331.369555000415,"Average wetland (%)"
"9","avg_nlcd_dev_pct",342.033178536275,"Average development (%)"
"10","avg_nlcd_openwater11_pct",350.991367270502,"Average open water (%)"
"11","nlcd_summed_agr_diff",369.303091852944,"Difference in agriculture 2016-2001 (%)"
"12","avg_nlcd_ag_pct",380.207080338415,"Average agriculture (%)"
"13","nlcd_summed_forest_diff",382.354552797802,"Difference in forest 2016-2001 (%)"
"14","lm_slope_ppt",385.504116210549,"Slope of precipitation over time"
"15","lake_perimeter_m",402.392783256188,"Lake perimeter (m)"
"16","avg_annual_range_temp_degC",406.997540098176,"Average annual air temperature range (deg C)"
"17","lake_waterarea_ha",425.604819657122,"Lake area (ha)"
"18","ws_area_ha",464.883816911124,"Watershed area (ha)"
"19","lm_slope_temp",505.563644797248,"Slope of temperature over time"
"20","lake_elevation_m",537.826149489726,"Lake elevation (m)"
"21","avg_nlcd_icesnow12_pct",718.197402823848,"Average ice and snow (%)"
"22","avg_ppt",742.000428090392,"Average precipitation (ppt)"
"23","avg_temp_degC",756.715990728574,"Average annual air
temperature (deg C)"
"24","lake_lat_decdeg",788.051544797903,"Latitude (DD)"
"25","avg_nlcd_shrub52_pct",1013.47983211035,"Average shrub (%)"
"26","lake_lon_decdeg",1129.59751288967,"Longitude (DD)"
"27","avg_nlcd_forest_pct",1548.85110479208,"Average forest (%)"
"28","epanutr_zoneid",1884.92878926907,"Ecoregion"
