"","variables","MeanDecreaseGini","newvarnames"
"1","lake_glaciatedlatewisc",1.97499415059689,"Glaciated"
"2","lake_lakes1ha_upstream_n",14.0784563818812,"Upstream lakes <= 1 ha (no.)"
"3","lake_lakes1ha_upstream_ha",18.7830326141464,"Upstream lakes <= 1 ha (ha)"
"4","lake_connectivity_class",19.2249303067884,"Connectivity class"
"5","epanutr_zoneid",25.9079957619864,"Ecoregion"
"6","nlcd_summed_dev_diff",36.6032035420836,"Difference in development 2016-2001 (%)"
"7","avg_nlcd_shrub52_pct",36.8692853747366,"Average shrub (%)"
"8","nlcd_summed_agr_diff",37.3416351312826,"Difference in agriculture 2016-2001 (%)"
"9","avg_nlcd_ag_pct",38.799107429948,"Average agriculture (%)"
"10","avg_nlcd_openwater11_pct",41.8631571990019,"Average open water (%)"
"11","avg_nlcd_barren31_pct",43.0609428841691,"Average barren (%)"
"12","avg_nlcd_icesnow12_pct",43.5223364410139,"Average ice and snow (%)"
"13","avg_nlcd_wetland_pct",44.5080227391531,"Average wetland (%)"
"14","avg_ppt",44.5735908862144,"Average precipitation (ppt)"
"15","lake_lon_decdeg",45.5470980464788,"Longitude (DD)"
"16","avg_nlcd_forest_pct",45.8259728208106,"Average forest (%)"
"17","avg_annual_range_temp_degC",46.2492433980476,"Average annual air temperature range (deg C)"
"18","avg_temp_degC",46.7836175867746,"Average annual air
temperature (deg C)"
"19","lm_slope_ppt",46.9307665586782,"Slope of precipitation over time"
"20","lake_lat_decdeg",49.1883693046552,"Latitude (DD)"
"21","nlcd_summed_forest_diff",49.2036000719236,"Difference in forest 2016-2001 (%)"
"22","lake_elevation_m",50.5452414208505,"Lake elevation (m)"
"23","lake_perimeter_m",51.3602029393406,"Lake perimeter (m)"
"24","lake_waterarea_ha",53.0083947267536,"Lake area (ha)"
"25","avg_nlcd_dev_pct",53.3437125476874,"Average development (%)"
"26","ws_area_ha",54.5342007837694,"Watershed area (ha)"
"27","nlcd_summed_wetland_diff",55.0504013538477,"Difference in wetland 2016-2001 (%)"
"28","lm_slope_temp",56.1985059174774,"Slope of air
temperature over time"
