"","variables","MeanDecreaseGini","newvarnames"
"1","lake_glaciatedlatewisc",1.85212166329316,"Glaciated"
"2","lake_lakes1ha_upstream_n",5.59974186132192,"Upstream lakes <= 1 ha (no.)"
"3","lake_lakes1ha_upstream_ha",7.79172983875522,"Upstream lakes <= 1 ha (ha)"
"4","lake_connectivity_class",13.2678531549469,"Connectivity class"
"5","epanutr_zoneid",18.9727444719764,"Ecoregion"
"6","nlcd_summed_dev_diff",31.6188130998553,"Difference in development 2016-2001 (%)"
"7","avg_nlcd_shrub52_pct",33.3478438665745,"Average shrub (%)"
"8","nlcd_summed_agr_diff",36.1415432311111,"Difference in agriculture 2016-2001 (%)"
"9","avg_nlcd_forest_pct",36.7074186224857,"Average forest (%)"
"10","avg_nlcd_ag_pct",36.7380664785709,"Average agriculture (%)"
"11","avg_nlcd_openwater11_pct",38.0408591418735,"Average open water (%)"
"12","lake_lat_decdeg",38.1235983576004,"Latitude (DD)"
"13","nlcd_summed_forest_diff",38.1401075286304,"Difference in forest 2016-2001 (%)"
"14","avg_ppt",38.2302210046402,"Average precipitation (ppt)"
"15","avg_nlcd_icesnow12_pct",38.7898501882108,"Average ice and snow (%)"
"16","avg_nlcd_dev_pct",39.25344951682,"Average development (%)"
"17","lake_perimeter_m",39.8621223110391,"Lake perimeter (m)"
"18","lm_slope_ppt",40.1029533551769,"Slope of precipitation over time"
"19","lake_waterarea_ha",41.0228419756059,"Lake area (ha)"
"20","ws_area_ha",41.0564893524874,"Watershed area (ha)"
"21","avg_nlcd_wetland_pct",41.4012753124984,"Average wetland (%)"
"22","avg_annual_range_temp_degC",41.4472395068155,"Average annual air temperature range (deg C)"
"23","lake_lon_decdeg",41.7510778564945,"Longitude (DD)"
"24","lm_slope_temp",42.091723795431,"Slope of air
temperature over time"
"25","avg_temp_degC",43.0389120212641,"Average annual air
temperature (deg C)"
"26","avg_nlcd_barren31_pct",44.1420245262171,"Average barren (%)"
"27","nlcd_summed_wetland_diff",44.2702017140856,"Difference in wetland 2016-2001 (%)"
"28","lake_elevation_m",52.0047990205421,"Lake elevation (m)"
