"","variables","MeanDecreaseGini","newvarnames"
"1","mines_heavymetal_npersqkm",0.0600335068009382,"Heavy metal mines (n/sqkm)"
"2","mines_rareelements_npersqkm",0.0640297458693129,"Rare element mines (n/sqkm)"
"3","npdes_stormwatermunicipal_npersqkm",0.239969309195569,"Municipal separate storm sewer systems (n/sqkm)"
"4","lake_glaciatedlatewisc",1.14017895924976,"Glaciated"
"5","npdes_cafo_npersqkm",1.60831364277094,"Concentrated animal feed operations (n/sqkm)"
"6","lith_carbonateresid_pct",2.57975831467358,"Carbonate residual rock (%)"
"7","sems_superfundnpl_npersqkm",2.69261421992506,"Superfund sites (n/sqkm)"
"8","npdes_majordischarge_npersqkm",4.08249293185202,"Facilities with major discharge (n/sqkm)"
"9","lith_silicicresid_pct",4.65498085033801,"Silicic residual rock (%)"
"10","npdes_stormwaterindustrial_npersqkm",6.59354132485077,"Industrial storm water sewers (n/sqkm)"
"11","npdes_potw_npersqkm",7.63772353049214,"Publically owned sewage treatment plants (n/sqkm)"
"12","lake_lakes1ha_upstream_n",7.79172354716435,"Upstream lakes <= 1 ha (no.)"
"13","lith_noncarbonateresid_pct",7.96096894183186,"Noncarbonate residual rock (%)"
"14","lake_lakes1ha_upstream_ha",9.13540542237241,"Upstream lakes <= 1 ha (ha)"
"15","canals_mperha",11.2559715786965,"Canals (m/ha)"
"16","lake_connectivity_class",11.4781082230742,"Connectivity class"
"17","dams_npersqkm",13.9139903224569,"Dams (n/sqkm)"
"18","epanutr_zoneid",14.0422312143993,"Ecoregion"
"19","satoverlandflow_pct",17.8088954523398,"Saturated over land flow (%)"
"20","groundwaterrecharge_mmperyr",21.3611719847429,"Groundwater recharge (mm/yr)"
"21","nlcd_summed_agr_diff",21.5096432286096,"Difference in agriculture 2016-2001 (%)"
"22","runoff_inperyr",21.552453492964,"Runoff (in/yr)"
"23","lm_slope_s_deposition",21.5853063444039,"Slope of sulfur deposition over time"
"24","avg_nlcd_shrub52_pct",21.6129739757284,"Average shrub (%)"
"25","topographicwetness",21.9957274877183,"Topographic wetness"
"26","soil_orgcarbon_gperkg",22.0235609457447,"Soil organic carbon (g/kg)"
"27","soil_clay_pct",22.0415528933171,"Soil clay (%)"
"28","avg_nlcd_ag_pct",22.1552037670622,"Average agriculture (%)"
"29","soil_sand_pct",22.18193982824,"Soil sand (%)"
"30","avg_nlcd_icesnow12_pct",22.3627007738152,"Average ice and snow (%)"
"31","soil_depthtobedrock_cm",22.4729931652372,"Soil depth to bedrock (cm)"
"32","tri_m",22.4758728295903,"Mean terrain ruggedness index"
"33","mean_totaldepsulfur_kgperha",22.5546500619678,"Mean total sulfur deposition (kg/ha)"
"34","avg_nlcd_openwater11_pct",22.7898444099261,"Average open water (%)"
"35","lm_slope_n_deposition",22.9701008513068,"Slope of nitrogen deposition over time"
"36","avg_ppt",23.3685997816555,"Average precipitation (ppt)"
"37","avg_nlcd_barren31_pct",23.618147947393,"Average barren (%)"
"38","baseflowindex_pct",23.7642606027404,"Baseflow index (%)"
"39","avg_nlcd_forest_pct",23.965013066779,"Average forest (%)"
"40","avg_nlcd_wetland_pct",24.0537163473358,"Average wetland (%)"
"41","soil_silt_pct",24.084784869064,"Soil silt (%)"
"42","nlcd_summed_dev_diff",24.2702878331587,"Difference in development 2016-2001 (%)"
"43","reliefratio",24.568911146965,"Relief ratio"
"44","mean_totaldepnitrogen_kgperha",25.2616339681283,"Mean total nitrogen deposition (kg/ha)"
"45","nlcd_summed_forest_diff",25.284295681428,"Difference in forest 2016-2001 (%)"
"46","avg_annual_range_temp_degC",25.352744672507,"Average annual air temperature range (deg C)"
"47","soil_coarse_pct",25.8306755625869,"Soil coarse (%)"
"48","soil_kffact",26.1992800011452,"Average soil erodibility factor"
"49","ws_area_ha",26.5855377448041,"Watershed area (ha)"
"50","lm_slope_ppt",26.7395726396709,"Slope of precipitation over time"
"51","lake_lon_decdeg",27.5568162821989,"Longitude (DD)"
"52","lake_elevation_m",27.9811313107288,"Lake elevation (m)"
"53","roads_mperha",28.2498876524082,"Roads (m/ha)"
"54","avg_temp_degC",28.5279647520738,"Average annual air
temperature (deg C)"
"55","lake_lat_decdeg",29.6306406418444,"Latitude (DD)"
"56","avg_nlcd_dev_pct",29.9652879686574,"Average development (%)"
"57","nlcd_summed_wetland_diff",30.2054307984754,"Difference in wetland 2016-2001 (%)"
"58","lake_waterarea_ha",30.6882149710315,"Lake area (ha)"
"59","lm_slope_temp",31.8874715779506,"Slope of temperature over time"
"60","lake_perimeter_m",33.3003443754355,"Lake perimeter (m)"
