"","variables","MeanDecreaseGini","newvarnames"
"1","mines_rareelements_npersqkm",0.0518975860245923,"Rare element mines (n/sqkm)"
"2","mines_heavymetal_npersqkm",0.0620573702195153,"Heavy metal mines (n/sqkm)"
"3","npdes_stormwatermunicipal_npersqkm",0.570459748761213,"Municipal separate storm sewer systems (n/sqkm)"
"4","lake_glaciatedlatewisc",1.43901498339137,"Glaciated"
"5","sems_superfundnpl_npersqkm",1.71326039768074,"Superfund sites (n/sqkm)"
"6","npdes_cafo_npersqkm",2.18943970799649,"Concentrated animal feed operations (n/sqkm)"
"7","lith_carbonateresid_pct",3.3613331549123,"Carbonate residual rock (%)"
"8","lith_silicicresid_pct",3.80818612551765,"Silicic residual rock (%)"
"9","lake_lakes1ha_upstream_n",3.83333016986091,"Upstream lakes <= 1 ha (no.)"
"10","npdes_majordischarge_npersqkm",4.16116684525723,"Facilities with major discharge (n/sqkm)"
"11","lake_lakes1ha_upstream_ha",5.36766860002541,"Upstream lakes <= 1 ha (ha)"
"12","npdes_potw_npersqkm",6.79441835917457,"Publically owned sewage treatment plants (n/sqkm)"
"13","npdes_stormwaterindustrial_npersqkm",7.04770799206612,"Industrial storm water sewers (n/sqkm)"
"14","lake_connectivity_class",8.52813503699966,"Connectivity class"
"15","canals_mperha",8.88517867901469,"Canals (m/ha)"
"16","lith_noncarbonateresid_pct",9.80800395461354,"Noncarbonate residual rock (%)"
"17","epanutr_zoneid",12.6334120271833,"Ecoregion"
"18","dams_npersqkm",12.7553751029242,"Dams (n/sqkm)"
"19","satoverlandflow_pct",16.7199615745917,"Saturated over land flow (%)"
"20","lm_slope_s_deposition",17.2524041971785,"Slope of sulfur deposition over time"
"21","groundwaterrecharge_mmperyr",17.2706896583757,"Groundwater recharge (mm/yr)"
"22","runoff_inperyr",17.2970448477943,"Runoff (in/yr)"
"23","soil_orgcarbon_gperkg",17.6855794804059,"Soil organic carbon (g/kg)"
"24","avg_nlcd_ag_pct",17.8485479238708,"Average agriculture (%)"
"25","nlcd_summed_agr_diff",18.3653400594906,"Difference in agriculture 2016-2001 (%)"
"26","avg_nlcd_icesnow12_pct",18.3913935188881,"Average ice and snow (%)"
"27","avg_nlcd_openwater11_pct",18.4862215062707,"Average open water (%)"
"28","soil_clay_pct",18.5994013112137,"Soil clay (%)"
"29","avg_nlcd_shrub52_pct",18.7272666932309,"Average shrub (%)"
"30","mean_totaldepsulfur_kgperha",18.7876259276893,"Mean total sulfur deposition (kg/ha)"
"31","baseflowindex_pct",18.8703936076628,"Baseflow index (%)"
"32","tri_m",18.9288053588188,"Mean terrain ruggedness index"
"33","soil_sand_pct",18.9486730150435,"Soil sand (%)"
"34","soil_coarse_pct",19.1041257390456,"Soil coarse (%)"
"35","mean_totaldepnitrogen_kgperha",19.3458330226343,"Mean total nitrogen deposition (kg/ha)"
"36","lm_slope_n_deposition",19.507181736177,"Slope of nitrogen deposition over time"
"37","soil_silt_pct",19.733462454239,"Soil silt (%)"
"38","nlcd_summed_forest_diff",19.7976675946837,"Difference in forest 2016-2001 (%)"
"39","avg_nlcd_forest_pct",19.8956632908725,"Average forest (%)"
"40","avg_nlcd_wetland_pct",19.9155580813032,"Average wetland (%)"
"41","nlcd_summed_dev_diff",20.3338091885505,"Difference in development 2016-2001 (%)"
"42","reliefratio",20.4306288718591,"Relief ratio"
"43","topographicwetness",20.5010646164976,"Topographic wetness"
"44","avg_ppt",20.5019957703132,"Average precipitation (ppt)"
"45","lake_lon_decdeg",20.754282986142,"Longitude (DD)"
"46","lake_lat_decdeg",20.8853820790926,"Latitude (DD)"
"47","soil_kffact",21.3043611458528,"Average soil erodibility factor"
"48","soil_depthtobedrock_cm",22.0032164452417,"Soil depth to bedrock (cm)"
"49","lm_slope_ppt",22.0893999293208,"Slope of precipitation over time"
"50","lm_slope_temp",22.1842332890954,"Slope of temperature over time"
"51","nlcd_summed_wetland_diff",22.1946516733163,"Difference in wetland 2016-2001 (%)"
"52","avg_nlcd_dev_pct",23.0086835391558,"Average development (%)"
"53","lake_perimeter_m",23.478925815916,"Lake perimeter (m)"
"54","avg_annual_range_temp_degC",23.9616860497252,"Average annual air temperature range (deg C)"
"55","roads_mperha",24.2543731097677,"Roads (m/ha)"
"56","avg_temp_degC",25.5946497335312,"Average annual air
temperature (deg C)"
"57","avg_nlcd_barren31_pct",26.28825686957,"Average barren (%)"
"58","lake_waterarea_ha",26.6268135778868,"Lake area (ha)"
"59","lake_elevation_m",26.8259551117698,"Lake elevation (m)"
"60","ws_area_ha",27.1900856472524,"Watershed area (ha)"
